acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,mag_x,mag_y,mag_z
-44,221,-957,-910,-980,-840,-304,-169,736
-47,223,-956,-840,-980,-770,-312,-162,727
-46,223,-957,-1190,-980,-770,-312,-160,729
-46,223,-957,-1400,-1050,-840,-315,-160,733
-46,223,-957,-1400,-980,-840,-304,-162,729
-44,224,-957,-980,-980,-840,-307,-171,726
-46,223,-956,-700,-980,-840,-318,-169,730
-46,224,-956,-840,-1050,-840,-306,-169,724
-24,-10,-987,1050,-630,-840,-178,-175,700
-24,-11,-982,1260,-2940,-1330,-181,-183,712
-23,-8,-986,140,-2170,-1190,-183,-172,703
-24,-9,-985,280,-2590,-1330,-174,-181,717
-26,-10,-991,700,-1680,-1190,-180,-178,703
-24,-9,-973,490,-770,-910,-183,-184,705
-25,-11,-991,-210,560,-910,-183,-177,712
-25,-10,-985,770,-1680,-770,-181,-177,705
-25,-10,-981,-350,140,-700,-169,-159,700
-24,-11,-981,-840,350,-770,-178,-181,706
-25,-12,-988,-1050,-70,-770,-174,-174,702
-23,-10,-986,-280,-700,-770,-178,-187,709
-23,-9,-983,560,-770,-770,-183,-177,691
-24,-11,-984,1190,-210,-840,-186,-183,696
-23,-11,-984,1890,-420,-910,-172,-178,705
-22,-12,-984,1960,-350,-910,-190,-186,706
-23,-11,-985,1260,-280,-840,-183,-166,709
-23,-12,-983,140,-420,-840,-174,-177,700
-23,-11,-983,-350,-420,-770,-172,-175,696
-22,-12,-983,-420,-420,-840,-178,-172,709
-23,-12,-984,-210,-560,-840,-193,-175,705
-23,-11,-983,210,-770,-840,-181,-181,706
-23,-12,-984,140,-840,-840,-181,-177,709
-23,-11,-985,140,-910,-840,-181,-171,703
-22,-12,-983,-210,-840,-770,-186,-178,694
-22,-12,-984,-420,-630,-770,-181,-180,708
-23,-12,-982,-350,-770,-770,-181,-172,712
-22,-11,-983,-210,-770,-770,-174,-187,700
-21,-11,-983,140,-910,-770,-181,-178,711
-23,-12,-984,280,-1050,-770,-190,-174,705
-22,-12,-984,140,-1050,-770,-181,-187,700
-23,-12,-984,-140,-980,-770,-178,-184,712
-22,-12,-984,-490,-980,-700,-183,-177,705
-22,-12,-983,-770,-1050,-700,-177,-187,709
-23,-11,-984,-770,-980,-700,-184,-187,703
-23,-11,-984,-700,-980,-630,-183,-190,709
-23,-11,-984,-420,-1050,-700,-174,-174,706
-23,-11,-985,-140,-910,-700,-180,-171,706
-23,-11,-984,-140,-980,-700,-175,-195,718
-22,-12,-985,-350,-770,-700,-187,-178,706
